brca_metabric:MB-6107	NCOR1,SHANK2,LAMA2,COL22A1,LAMB3,CTNNA1,CDH1,NRG3,BIRC6,ATR,PIK3CA,CBFB,MAP3K1
brca_metabric:MB-6133	SF3B1,HERC2,CDH1,UTRN,ATR,PIK3CA
brca_metabric:MB-6141	KRAS
brca_metabric:MB-6147	L1CAM,NCOR2,STAB2,LAMB3,PDE4DIP
brca_metabric:MB-6167	BRCA2,DNAH5,NT5E,PDE4DIP,CDH1,THSD7A,DNAH2
brca_metabric:MB-6195	AKAP9,KMT2C,DNAH11,THADA,LDLRAP1,CDH1,TBX3,PIK3CA
brca_metabric:MB-6253	NCOR1,SYNE1,AHNAK,TG,PIK3CA,DNAH2
brca_metabric:MB-6283	SF3B1,GATA3,ROS1,PDE4DIP,AHNAK2,PIK3CA
brca_metabric:MB-6319	BIRC6,TG
brca_metabric:MB-6358	TAF1,MAGEA8,PDE4DIP,TP53
brca_metabric:MB-7004	AHNAK,MUC16,COL22A1,FANCD2,NOTCH1,DNAH2,PIK3R1,MAP3K1
brca_metabric:MB-7032	BIRC6,BRCA1,LAMA2,PIK3CA
brca_metabric:MB-7041	PTPRM,SETDB1,SYNE1,LAMA2,MUC16,DNAH5,LIPI,COL22A1,STAB2,CASP8,CDH1,BIRC6,PIK3CA,NF1,RUNX1
brca_metabric:MB-7054	AKAP9,SYNE1,TP53,PDE4DIP,DNAH2
brca_metabric:MB-7059	NCOR2,TP53,DNAH11,SBNO1,PIK3CA,USH2A
brca_metabric:MB-7060	COL22A1,AHNAK2,NF1,CDH1
brca_metabric:MB-7071	COL6A3,MYO1A,AHNAK,NCOR2,GPR32,COL22A1,ASXL1,THADA,PTEN,JAK1,PIK3CA,USH2A,MAP3K10,KMT2D,SETD1A,NEK1,MAP3K1
brca_metabric:MB-7084	HERC2,AHNAK2,MUC16,TP53
brca_metabric:MB-7101	DNAH5,COL22A1,CDH1,PIK3CA,ATR
brca_metabric:MB-7128	SYNE1,AHNAK2,USH2A,SIK1,CTNNA3
brca_metabric:MB-7133	PTPN22,GATA3,TG,GLDC,TAF1,ASXL2
brca_metabric:MB-7173	MAGEA8,ERBB2,CDH1,AHNAK2,PIK3CA
brca_metabric:MB-7195	COL6A3,PIK3CA
brca_metabric:MB-7212	NF1,PIK3CA,CDH1
brca_metabric:MB-7216	NOTCH1
brca_metabric:MB-7218	SYNE1,GATA3,ATR,PIK3CA,ARID1A
brca_metabric:MB-7236	NEK1
